content,day,person
"Hola bro soy Edwin, queria preguntarte como hiciste la practica 3 de r de probabilidad",15/3/20,Paco
Gracias bro,15/3/20,Paco
Okey bro,15/3/20,Paco
Gracias bro,16/3/20,Paco
Bro esto dejo de tarea pa examen el profe solo pasas a rafa porfa,20/4/20,Paco
Problema dado el código de tarea ahora modificado pera que haga otra cosa con modificacion ,20/4/20,Paco
CREATE TABLE provedor,12/5/20,Paco
RMarckdown,16/5/20,Paco
https://correoipn-my.sharepoint.com/:u:/g/personal/earteagag1800_alumno_ipn_mx/EXXxorTNgxZKiyq8WkRuM38BGsAztvhYu9kRzM2r-JRy5Q?e=Bz8eUa,19/5/20,Paco
Bro,1/6/202,Paco
Checa,1/6/202,Paco
El grupo de chat gpt,1/6/202,Paco
Ahí subí el examen,1/6/202,Paco
De analisis,1/6/202,Paco
Ando acabando mi examen apenas entrare,17/6/20,Paco
Porque dices que anda mal,17/6/20,Paco
Pero solo es descargar lo json no?,17/6/20,Paco
métete a la página de registro,17/6/20,Paco
Y ahí veras lo json,17/6/20,Paco
Esa es para la orientación,17/6/20,Paco
Según yo,17/6/20,Paco
No se como descargar el json,17/6/20,Paco
Ya pude,17/6/20,Paco
El data frame está henorme,17/6/20,Paco
Y rarito,17/6/20,Paco
Ábrelo y verás el json pesa 60 mb,17/6/20,Paco
Yo nomas di cliks,17/6/20,Paco
Pero igual te lo  estoy mandando,17/6/20,Paco
<Multimedia omitido>,17/6/20,Paco
Ya lo wachaste?,17/6/20,Paco
La neta mejor voy a mimir,17/6/20,Paco
Jaja,17/6/20,Paco
Aparte que hay que darle la vuelta al dataframe,17/6/20,Paco
Porque esta al reves,17/6/20,Paco
Y muchas cosas,17/6/20,Paco
Si we esta ojete,17/6/20,Paco
Vale guapo,17/6/20,Paco
Neta?,17/6/20,Paco
<Multimedia omitido>,17/6/20,Paco
<Multimedia omitido>,17/6/20,Paco
<Multimedia omitido>,17/6/20,Paco
Como bro?,17/6/20,Paco
Si lo bote me estrese jaja xd,17/6/20,Paco
Solo co seguí acomodar el data set pero hay muchos valores desconocidos,17/6/20,Paco
Voy denme 10,27/6/20,Paco
<Multimedia omitido>,30/6/20,Paco
Pero igual pasare a escom por las cosas,30/6/20,Paco
Y de ahí ya voy pa dogo,30/6/20,Paco
Ya vi que ya llegaron perros,30/6/20,Paco
<Multimedia omitido>,22/9/20,Paco
vamos a comer?,22/9/20,Paco
class Ser_vivo:,26/9/20,Paco
class Vehículo:,26/9/20,Paco
<Multimedia omitido>,26/9/20,Paco
<Multimedia omitido>,26/9/20,Paco
Osea son en scripts para que los puedas ver bonito en el visual,26/9/20,Paco
Gracias guapo,26/9/20,Paco
dices en cilindarda,26/9/20,Paco
en coche con ruedas no?,26/9/20,Paco
es que es un método que hereda el coche,26/9/20,Paco
Chi jsjs,26/9/20,Paco
Chi,26/9/20,Paco
No se,30/9/20,Paco
A ver pasa,30/9/20,Paco
Si o g++,30/9/20,Paco
Si lo vas a subir ponle con extensión .cpp,30/9/20,Paco
Aja y como lo estas mandando,30/9/20,Paco
Pero lo estas mandando asi,30/9/20,Paco
Jaja pero no puede impresiones de pantalla,30/9/20,Paco
En las subidas,30/9/20,Paco
Solo debes imprimir las respuestas,30/9/20,Paco
Pero esos puts no deben estar,30/9/20,Paco
Si estas poniendo bien lo que debe salir de respuesta?,30/9/20,Paco
A ver pasa el contexto del problema,30/9/20,Paco
Jaja vale,30/9/20,Paco
Chi,30/9/20,Paco
<Multimedia omitido>,12/10/2,Paco
<Multimedia omitido>,18/10/2,Paco
<Multimedia omitido>,18/10/2,Paco
<Multimedia omitido>,18/10/2,Paco
El azul,20/10/2,Paco
El del medio,20/10/2,Paco
Yo digo que si,20/10/2,Paco
Jsjs,20/10/2,Paco
Cualquier pedo me avisas,20/10/2,Paco
Va va,20/10/2,Paco
Busca Oracle y me mandas foto,20/10/2,Paco
La primera,20/10/2,Paco
Vale ahora abajo del logo de r apareció un logo como de base de datos no?,20/10/2,Paco
Dale clic ahi,20/10/2,Paco
No le hagas caso al final ninguna estorba,20/10/2,Paco
Que te salio?,20/10/2,Paco
En database dale al signo de mas,20/10/2,Paco
Que te salio x2,20/10/2,Paco
En service name solo deja XE,20/10/2,Paco
Y en User name  y pasword pon la que estas utilizando para las practicas,20/10/2,Paco
Osea como te conectas a la base de datos en la terminal,20/10/2,Paco
CHI,20/10/2,Paco
Y le das en guardar contraseña,20/10/2,Paco
Y luego en crear,20/10/2,Paco
Y me dices que sale,20/10/2,Paco
Muestras*,20/10/2,Paco
A si cierto,20/10/2,Paco
Levanta la base de datos,20/10/2,Paco
Osea en las cosas de oracle,20/10/2,Paco
Dale a activar data base,20/10/2,Paco
A,20/10/2,Paco
Y como has echo las practicas?,20/10/2,Paco
Jsjs el del profe,20/10/2,Paco
Noooo,20/10/2,Paco
No pongas nada,20/10/2,Paco
Apoco?,20/10/2,Paco
Entonces pon una que no olvides,20/10/2,Paco
Jaja valr,20/10/2,Paco
Obvi,20/10/2,Paco
Simón pon una que no olvides,20/10/2,Paco
V va va,20/10/2,Paco
Jaja ya aver manda foto,20/10/2,Paco
Pero creaste el usuario?,20/10/2,Paco
Vale pues tienes que pasar la practica anterior de xml para que la puedas usar ahi,20/10/2,Paco
Jsjs,20/10/2,Paco
Porque se ocupa en la otra práctica,20/10/2,Paco
Crea un archivo,20/10/2,Paco
.sql normal,20/10/2,Paco
<Multimedia omitido>,20/10/2,Paco
Ahí dale,20/10/2,Paco
Manda foto para seguir,20/10/2,Paco
Dale en nuevo file,20/10/2,Paco
Y pones el nombre del archivo con terminación.sql,20/10/2,Paco
Si,20/10/2,Paco
Manda foto,20/10/2,Paco
Del lado derecho,20/10/2,Paco
A la parte de la derecha,20/10/2,Paco
<Multimedia omitido>,20/10/2,Paco
Si,20/10/2,Paco
No se ejecuto?,20/10/2,Paco
Dale la tuerquita,20/10/2,Paco
Puedes entrar a discord,21/10/2,Paco
?,21/10/2,Paco
Ahí te veo,21/10/2,Paco
Creo se apago,21/10/2,Paco
Jaja,21/10/2,Paco
Jaja vale,21/10/2,Paco
Como asi,23/10/2,Paco
Para afuera del walt.art,23/10/2,Paco
Jaja f,23/10/2,Paco
Vale me amegro,23/10/2,Paco
Chi acabo de llegar a mi casita,23/10/2,Paco
<Multimedia omitido>,23/10/2,Paco
Sigue voli,24/10/2,Paco
Paco para este fin de semana me puedes prestar un balón 👉👈🏻,24/10/2,Paco
<Multimedia omitido>,24/10/2,Paco
Stiker para no morir ignorado,24/10/2,Paco
<Multimedia omitido>,24/10/2,Paco
Chi sin problema,24/10/2,Paco
Jsjs,24/10/2,Paco
Es que al parecer a mis papas se les da bien el voli,24/10/2,Paco
Y que el fin me quieren enseñar,24/10/2,Paco
Jaja quiero,24/10/2,Paco
Jsjs,24/10/2,Paco
Jsjs el que lo mando,25/10/2,Paco
En el trabajo entrando a word,25/10/2,Paco
Le dan en comentarios,25/10/2,Paco
Aaaa descargalo,25/10/2,Paco
Y cargalo a google docs,25/10/2,Paco
Ahí deberían aparecer los comentarios,25/10/2,Paco
Osea ya se los regreso con calificación?,25/10/2,Paco
<Multimedia omitido>,25/10/2,Paco
Entonces aun no están los comentarios,25/10/2,Paco
Alv neta?,25/10/2,Paco
Sino empieza word online,25/10/2,Paco
Y aver si ahí se ven,25/10/2,Paco
Jaja f,25/10/2,Paco
Si no ahorita que llegue a ver si me deja leerlos a mi en mi lap,25/10/2,Paco
Chi,25/10/2,Paco
Jsjs vale guapo,25/10/2,Paco
Yeiii,25/10/2,Paco
Yo aun no salgo,25/10/2,Paco
Como que te mimiste,30/10/2,Paco
Jajaja,30/10/2,Paco
Como así crack,30/10/2,Paco
Como asi,30/10/2,Paco
Entonces,30/10/2,Paco
Jsjsj,30/10/2,Paco
A Chi y más contestadores y gestión de proyectos,30/10/2,Paco
Paco,31/10/2,Paco
Me pasas el balon,31/10/2,Paco
Paco,31/10/2,Paco
Paco,31/10/2,Paco
Paco,31/10/2,Paco
Paco,31/10/2,Paco
Paco,31/10/2,Paco
sácame de botello,6/11/20,Paco
:(,6/11/20,Paco
pacooooooooooooooooooooooooooooooooooooooooooooooo,6/11/20,Paco
:(,6/11/20,Paco
noooo suerte guapo,6/11/20,Paco
a monos a canchas,6/11/20,Paco
<Multimedia omitido>,6/11/20,Paco
chi jsjs y que diras tu?,6/11/20,Paco
<Multimedia omitido>,6/11/20,Paco
eso es el 50% del trabajo,6/11/20,Paco
<Multimedia omitido>,6/11/20,Paco
<Multimedia omitido>,6/11/20,Paco
voy,6/11/20,Paco
chi,6/11/20,Paco
<Multimedia omitido>,6/11/20,Paco
Chi,6/11/20,Paco
<Multimedia omitido>,6/11/20,Paco
Chi ni p0,6/11/20,Paco
P,6/11/20,Paco
Pp,6/11/20,Paco
Jsjsj,7/11/20,Paco
Como osea completa o como,7/11/20,Paco
A chi,7/11/20,Paco
Ya lo van a comprar,7/11/20,Paco
Voy dame 10 minutos que ya me voy a bajar del camión y llegar a la escuela,7/11/20,Paco
Simon,7/11/20,Paco
Vale pues quedamos a la par,7/11/20,Paco
