content,day,person
Los quiero muchooooo,10/22/24,Varios
son el mejor equipo del mundo,10/22/24,Varios
esto esta muy gpi vtalv como dice la chaviza,10/22/24,Varios
Reviví saramambiches,10/22/24,Varios
😂😂😂🤣🤣😆🙂😄😛😉😘🙃🥲😋🥹😘😛☺️😌,10/22/24,Varios
No,10/22/24,Varios
"Todo bien, no me quejo",10/22/24,Varios
Se vale tirar factor?,10/22/24,Varios
Factos*,10/22/24,Varios
"En mis tiempos las gorditas no iban con falda y ombliguera, solo con salsa y crema 🤙🏽",10/22/24,Varios
"Amigos, perdón por estar muy inactivo, juro mandar más videos con la finalidad de conseguir hacer de manera correcta esta práctica",10/23/24,Varios
Era mame jajajaja,10/23/24,Varios
Saquen chisme,10/23/24,Varios
"No, espera un segundo",10/24/24,Varios
Los mensajes van a salir de este chat ¿Verdad?,10/24/24,Varios
O de dónde?,10/24/24,Varios
Quieren que use un chat que tenga con alguien más?,10/24/24,Varios
Cómo piensan hacerle ustedes?,10/24/24,Varios
"Vavavava, denme unos minutos, ya anda quedando mi código para mí chat",10/24/24,Varios
Mames,10/24/24,Varios
Va,10/24/24,Varios
https://github.com/RubenRM31,10/24/24,Varios
me rolas el repo @5215535831468?,10/24/24,Varios
We,6/17/23,Omar
Hay que escoger una pareja para hacer la tarea integradora,6/17/23,Omar
Le digo que tú y yo?,6/17/23,Omar
Va,6/17/23,Omar
Quién quieres ser? Escoge,6/17/23,Omar
Va,6/17/23,Omar
Eu?,6/17/23,Omar
Candidato a presidente,6/17/23,Omar
Simon,6/17/23,Omar
En dónde están?,6/17/23,Omar
Del otro lado,6/17/23,Omar
En el mismo piso?,6/17/23,Omar
No we,6/17/23,Omar
Andaba en el 108 jajaja,6/17/23,Omar
Que ondas,6/27/23,Omar
Había dicho en el número 4 de la página 15,6/27/23,Omar
"""Your story""",6/27/23,Omar
Usando los tiempos futuros que vimos en clase,6/27/23,Omar
"Que ondas, bro",07/06/2023,Omar
"Si, mañana queda el trabajo, ¿lo vemos temprano?",07/06/2023,Omar
El 1?,07/06/2023,Omar
"La ví hace un rato, ni sabía que ahí se debía de subir 🤣",07/06/2023,Omar
"Sale bro, ahorita lo checo, gracias 🤙",07/07/2023,Omar
"Oye, el ensayo lo hiciste a mano o en pc?",07/07/2023,Omar
Oye bro,07/07/2023,Omar
Como ves lo de hacer el integrative task en video?,07/07/2023,Omar
"Yo entendí que si se puede hacer video, pero debemos presentarlo en la clase, no debemos enviarlo",07/07/2023,Omar
Qué dices?,07/07/2023,Omar
Va,07/07/2023,Omar
Que te parece conectarnos a las 9?,07/07/2023,Omar
"Simón, ahorita agrego la que falta",07/07/2023,Omar
Son 8,07/07/2023,Omar
"Va, yo la conclusión",07/07/2023,Omar
"Oye bro, me esperas para las 9:20?",07/07/2023,Omar
"Listo bro, solo en 5 te mando el link de Skype",07/07/2023,Omar
pasa link,07/07/2023,Omar
Que ondas bro,7/13/23,Omar
"Lo del speaking creo que es individual para todos, por el tipo de preguntas",7/13/23,Omar
No manches 😂,7/22/23,Omar
Ni el helbling?,7/22/23,Omar
Alv jajajaja,7/22/23,Omar
"Vale mothers, hice todas sus tareas y sin hacerlas igual hubiera pasado jajaja 🫠",7/22/23,Omar
Que chido que pásate bro,7/22/23,Omar
"Si, me puso 8.9",7/22/23,Omar
